id,year,category,nominee,staff,company,producer,win,cast
522,2019,Outstanding Individual Achievement In Animation (Juried),Carmen Sandiego,"Elaine Lee, as Background Painter",Netflix,Houghton Mifflin Harcourt Publishing and DHX Media,TRUE,"Gina Rodriguez,Finn,Wolfhard,Abby Trott,Michael Hawley"
523,2019,Outstanding Individual Achievement In Animation (Juried),"Love, Death & Robots","Alberto Mielgo, as Production Designer",Netflix,Blur Studio,TRUE,
524,2019,Outstanding Individual Achievement In Animation (Juried),"Love, Death & Robots","Jun-ho Kim, as Background Designer",Netflix,Blur Studio,TRUE,
525,2019,Outstanding Individual Achievement In Animation (Juried),"Love, Death & Robots","David Pate, as Character Animator",Netflix,Blur Studio,TRUE,
526,2019,Outstanding Individual Achievement In Animation (Juried),"Love, Death & Robots","Owen Sullivan, as Storyboard Artist",Netflix,Blur Studio,TRUE,
529,2019,Outstanding Motion Design (Juried),Patriot Act with Hasan Minhaj,"Michelle Higa Fox, Creative Director; Jorge L. Peschiera, Creative Director; Yussef Cole, Head of Animation; Brandon Sugiyama, Lead Animator; Paris London Glickman, Lead Animator",Netflix,A Netflix Original Production,TRUE, Hasan Minhaj
542,2019,Outstanding Picture Editing For A Structured Reality Or Competition Program,Queer Eye,"Joseph DeShano, Editor; Matthew Miller, Editor; Ryan Taylor, Editor; Carlos Gamarra, Editor; Iain Tibbles, Editor; Tony Zajkowski, Editor",Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",TRUE,"Antoni Porowski,Tan France,Karamo Brown,Bobby Berk,Jonathan Van Ness"
547,2019,Outstanding Directing For A Variety Special,Springsteen On Broadway,"Thom Zimny, Directed by",Netflix,"Thrill Hill Productions, Inc.",TRUE,Bruce Springsteen
549,2019,Outstanding Casting For A Reality Program,Queer Eye,"Gretchen Palek, SVP, Casting & Talent; Danielle Gervais, VP, Casting & Talent; Quinn Fegan, Casting Producer; Ally Capriotti Grant, Location Casting; Pamela Vallarelli, Location Casting",Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",TRUE,"Antoni Porowski,Tan France,Karamo Brown,Bobby Berk,Jonathan Van Ness"
550,2019,Outstanding Directing For A Reality Program,Queer Eye,"Hisham Abed, Directed by",Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",TRUE,"Antoni Porowski,Tan France,Karamo Brown,Bobby Berk,Jonathan Van Ness"
554,2019,Outstanding Documentary Or Nonfiction Series,Our Planet,"Sophie Lanfear, Produced by; Alastair Fothergill, Series Producer; Keith Scholey, Series Producer",Netflix,Silverback Films,TRUE,David Attenborough 
560,2019,Outstanding Writing For A Variety Special,Hannah Gadsby: Nanette,"Hannah Gadsby, Written by",Netflix,A Netflix Original Production,TRUE, Hannah Gadsby
569,2019,Outstanding Narrator,Our Planet,"Sir David Attenborough, as Narrator",Netflix,Silverback Films,TRUE,David Attenborough 
571,2019,Outstanding Short Form Animated Program,"Love, Death & Robots","David Fincher, Executive Producer; Tim Miller, Executive Producer; Jennifer Miller, Executive Producer; Joshua Donen, Executive Producer; Victoria Howard, Supervising Producer; Gennie Rim, Producer; Alberto Mielgo, Written by/Directed by; Gabriele Pennacchioli, Supervising Director",Netflix,Blur Studio,TRUE,
573,2019,Outstanding Structured Reality Program,Queer Eye,"David Collins, Executive Producer; Michael Williams, Executive Producer; Rob Eric, Executive Producer; Jennifer Lane, Executive Producer; Jordana Hochman, Executive Producer; David George, Executive Producer; Adam Sher, Executive Producer; David Eilenberg, Executive Producer; Rachelle Mendez, Co-Executive Producer; Mark Bracero, Co-Executive Producer",Netflix,"Scout Productions, Inc. and ITV Entertainment, LLC",TRUE,"Antoni Porowski,Tan France,Karamo Brown,Bobby Berk,Jonathan Van Ness"
